,misc,misc_features
29,"<p style='background-color: white; box-sizing: border-box; color: #555555; font-family: ""Signika Negative"", ""Mukta Malar"", sans-serif; font-size: 16px; line-height: 24px; margin-bottom: 1rem; margin-top: 0px;'>இந்திய மதிப்பின்படி இப்படம் அங்கு ரூ. 1.13 கோடி வசூல் செய்துள்ளது, இதனால் வலிமை திரைப்படம் தான் சிங்கப்பூரில் அதிக வசூல் செய்த அஜித்தின் திரைப்படம் என்ற பெருமையை பெற்றுள்ளது.  https://youtu.be/dvIajDCsTIk</p>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>p"", ""next_sibling"": ""p"", ""parent_node"": ""div"", ""prev_sibling"": ""p"", ""child_nodes"": []}"
30,"<a class=""read-more anchor-hover"" href=""https://www.kathiravan.com/2022/02/blog-post_25.html"">Read more <i class=""fa fa-chevron-right""></i></a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>article>div>a"", ""next_sibling"": ""span"", ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [""i""], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [0, 0, 0, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
31,<h4>Subscribe via email</h4>,"{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>h4"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 43.703125, ""y"": 1185.75, ""height"": 26, ""width"": 698, ""is_visible"": true, ""aria_role"": ""heading"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [130, 116, 89, 1], ""font_size"": ""16px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
32,"<h8 class=""share-title"">Share This:</h8>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>div>h8"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 43.703125, ""y"": 1298.34375, ""height"": 26, ""width"": 70, ""is_visible"": true, ""aria_role"": ""generic"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [174, 174, 174, 1], ""font_size"": ""12px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
33,"<span class=""resp_del""> Facebook</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>div>div>a>span"", ""next_sibling"": null, ""parent_node"": ""a"", ""prev_sibling"": ""i"", ""child_nodes"": [], ""x"": 136.703125, ""y"": 1298.34375, ""height"": 14, ""width"": 65, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [255, 255, 255, 1], ""font_size"": ""12px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
34,"<span class=""resp_del2""> Twitter</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>div>div>a>span"", ""next_sibling"": null, ""parent_node"": ""a"", ""prev_sibling"": ""i"", ""child_nodes"": [], ""x"": 237.703125, ""y"": 1298.34375, ""height"": 14, ""width"": 48, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [255, 255, 255, 1], ""font_size"": ""12px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
35,"<span class=""resp_del3""> Google+</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>div>div>a>span"", ""next_sibling"": null, ""parent_node"": ""a"", ""prev_sibling"": ""i"", ""child_nodes"": [], ""x"": 325.703125, ""y"": 1298.34375, ""height"": 14, ""width"": 56, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [255, 255, 255, 1], ""font_size"": ""12px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
36,"<span class=""resp_del4""> Pinterest</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>div>div>a>span"", ""next_sibling"": null, ""parent_node"": ""a"", ""prev_sibling"": ""i"", ""child_nodes"": [], ""x"": 416.703125, ""y"": 1298.34375, ""height"": 14, ""width"": 61, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [255, 255, 255, 1], ""font_size"": ""12px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
37,"<span class=""resp_del5""> Linkedin</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>div>div>a>span"", ""next_sibling"": null, ""parent_node"": ""a"", ""prev_sibling"": ""i"", ""child_nodes"": [], ""x"": 512.703125, ""y"": 1298.34375, ""height"": 14, ""width"": 57, ""is_visible"": true, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [255, 255, 255, 1], ""font_size"": ""12px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
38,"<span class=""resp_del5""> Whatsapp</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>div>div>a>span"", ""next_sibling"": null, ""parent_node"": ""a"", ""prev_sibling"": ""i"", ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [255, 255, 255, 1], ""font_size"": ""12px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
39,"<div id=""related-posts"">
slider
</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": ""div"", ""child_nodes"": []}"
40,"<span class=""post-labels"">
Tags
<a href=""https://www.kathiravan.com/search/label/cinema%20news?&amp;max-results=7"" rel=""tag"">cinema news</a>,
<a href=""https://www.kathiravan.com/search/label/slider?&amp;max-results=7"" rel=""tag"">slider</a>
</span>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>div>div>div>div>div>div>div>span"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [""a""], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [46, 46, 46, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
41,"<a class=""blog-pager-older-link"" href=""https://www.kathiravan.com/2022/02/blog-post.html"" id=""Blog1_blog-pager-older-link"" title=""Older Post"">Older Post</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>span>a"", ""next_sibling"": null, ""parent_node"": ""span"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [34, 34, 34, 1], ""font_color"": [255, 255, 255, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
42,"<a class=""home-link"" href=""https://www.kathiravan.com/"">Home</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>a"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": ""span"", ""child_nodes"": [], ""x"": 0, ""y"": 0, ""height"": 0, ""width"": 0, ""is_visible"": false, ""aria_role"": ""none"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [0, 0, 0, 1], ""font_size"": ""14px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
43,"<div class=""widget-content"">
<script type=""text/javascript"">
    google_ad_client = ""ca-pub-7125072557383441"";
    google_ad_host = ""ca-host-pub-1556223355139109"";
    google_ad_slot = ""3317068918"";
    google_ad_width = 970;
    google_ad_height = 250;
</script>
<!-- kathiravanworld_sidebar_AdSense3_970x250_as -->
<script src=""https://pagead2.googlesyndication.com/pagead/show_ads.js"" type=""text/javascript"">
</script>
<div class=""clear""></div>
</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [""script"", ""div""]}"
44,"<h2 class=""title"">Disqus Shortname</h2>","{""tag_sequence"": ""html>body>div>div>div>div>div>h2"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 227.5, ""y"": 1894.515625, ""height"": 34, ""width"": 174, ""is_visible"": true, ""aria_role"": ""heading"", ""bgcolor"": [251, 72, 52, 1], ""font_color"": [255, 255, 255, 1], ""font_size"": ""16px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
45,<h2>பிரபலமானவை</h2>,"{""tag_sequence"": ""html>body>div>div>div>div>div>h2"", ""next_sibling"": ""div"", ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 227.5, ""y"": 2020.90625, ""height"": 34, ""width"": 74, ""is_visible"": true, ""aria_role"": ""heading"", ""bgcolor"": [251, 72, 52, 1], ""font_color"": [255, 255, 255, 1], ""font_size"": ""16px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
46,"<a href=""https://www.kathiravan.com/2021/12/blog-post.html"">குண்டை தூக்கிப்போட்ட ஆய்வு…. இந்தியாவின் “கோவிஷீல்டு” தடுப்பூசி போட்டவர்களுக்கு…. ஷாக் நியூஸ்….!!!!</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div>a"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 322.5, ""y"": 2076.296875, ""height"": 51, ""width"": 228, ""is_visible"": true, ""aria_role"": ""link"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [34, 34, 34, 1], ""font_size"": ""13px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
47,"<div class=""item-snippet"">  இங்கிலாந்தில் அஸ்ட்ராஜெனகா மருந்து நிறுவனமும், ஆக்ஸ்போர்டு பல்கலை கழகமும் இணைந்து தயாரித்த கொரோனா தடுப்பூசி பெரும்பாலான மக்களுக்கு போடப்பட...</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": ""div"", ""child_nodes"": []}"
48,"<a href=""https://www.kathiravan.com/2022/01/blog-post.html"">ரவுடி பேபிக்கு நடந்த தரமான சம்பவம்.. ஆபாச வீடியோக்களால் வந்த வினை</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div>a"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 322.5, ""y"": 2157.296875, ""height"": 51, ""width"": 218, ""is_visible"": true, ""aria_role"": ""link"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [34, 34, 34, 1], ""font_size"": ""13px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
49,"<div class=""item-snippet"">  டிக்டாக்கில் அரைகுறை ஆடையுடன் ஆபாச நடனமாடி பேமஸ் ஆனவர் ரவுடி பேபி சூர்யா. தற்போது யூ-டியூப் சேனல் மூலமாக வீடியோ போடுவது, ஆபாசமாக பேசுவது, ...</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": ""div"", ""child_nodes"": []}"
50,"<a href=""https://www.kathiravan.com/2022/02/blog-post_25.html"">வலிமை தான் அஜித் திரைப்பயணத்திலே அதிக காலெக்ஷன் செய்த திரைப்படம் ! எங்கு தெரியுமா?</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div>a"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 322.5, ""y"": 2238.296875, ""height"": 51, ""width"": 216, ""is_visible"": true, ""aria_role"": ""link"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [34, 34, 34, 1], ""font_size"": ""13px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
51,"<div class=""item-snippet"">  நடிகர் அஜித் நடிப்பில் இயக்குனர் எச்.வினோத் இயக்கத்தில் நேற்று வெளியாகி உலகமெங்கும் பெரிய வரவேற்பை பெற்று வரும் திரைப்படம் வலிமை. அஜித் ரச...</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": ""div"", ""child_nodes"": []}"
52,"<a href=""https://www.kathiravan.com/2021/11/blog-post.html"">ஏர்போர்ட்டில் உதைத்த நபர் யார், என்ன நடந்தது?: உண்மையை சொன்ன விஜய் சேதுபதி</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div>a"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 322.5, ""y"": 2319.296875, ""height"": 51, ""width"": 225, ""is_visible"": true, ""aria_role"": ""link"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [34, 34, 34, 1], ""font_size"": ""13px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
53,"<div class=""item-snippet"">  விமான நிலையத்தில் ஒருவர் ஓடி வந்து பின்னால் இருந்து உதைத்த விவகாரம் பற்றி விஜய் சேதுபதி விளக்கம் அளித்திருக்கிறார். பெங்களூர் விமான நிலையத...</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": ""div"", ""child_nodes"": []}"
54,"<a href=""https://www.kathiravan.com/2021/10/blog-post_2.html"">பாலச்சந்திரன் மற்றும் தன்னிடம் படித்த மாணவர்கள் தொடர்பில் நாடாளுமன்றத்தில் பகிரங்க கேள்வி</a>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div>a"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [], ""x"": 322.5, ""y"": 2400.296875, ""height"": 51, ""width"": 209, ""is_visible"": true, ""aria_role"": ""link"", ""bgcolor"": [0, 0, 0, 0], ""font_color"": [34, 34, 34, 1], ""font_size"": ""13px"", ""font_style"": ""normal"", ""font_family"": ""Roboto, sans-serif""}"
55,"<div class=""item-snippet"">  இறுதி யுத்த காலப்பகுதியில் இராணுவத்தினரிடம் ஒப்படைக்கப்பட்ட சிறுவர்கள் தொடர்பில் நாடாளுமன்ற உறுப்பினர் சிறீதரன் பகிரங்கமாக ஆதங்கத்துடன் கே...</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div>ul>li>div>div"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": ""div"", ""child_nodes"": []}"
56,"<div class=""widget-content"">
<script type=""text/javascript"">
    google_ad_client = ""ca-pub-7125072557383441"";
    google_ad_host = ""ca-host-pub-1556223355139109"";
    google_ad_slot = ""5460032432"";
    google_ad_width = 728;
    google_ad_height = 90;
</script>
<!-- kathiravanworld_sidebar_AdSense2_728x90_as -->
<script src=""https://pagead2.googlesyndication.com/pagead/show_ads.js"" type=""text/javascript"">
</script>
<div class=""clear""></div>
</div>","{""tag_sequence"": ""html>body>div>div>div>div>div>div"", ""next_sibling"": null, ""parent_node"": ""div"", ""prev_sibling"": null, ""child_nodes"": [""script"", ""div""]}"
